4,2688,557,2802,580,2831,582,2861,589
7,9,1,9,1,9,1,9,1
8,8,3,8,3,8,3,8,3
9,85,30,86,32,86,32,87,32
14,94,47,98,48,99,48,99,48
22,20,20,20,20,20,20,21,21
31,24,13,24,13,24,13,24,13
36,120,34,122,37,122,37,123,37
37,18,3,18,3,18,3,18,3
38,15,3,15,3,15,3,15,3
39,673,360,685,367,686,369,688,370
43,205,102,208,106,209,109,209,109
46,1279,1354,1326,1413,1339,1419,1350,1432
47,2005,1149,2066,1183,2085,1190,2097,1198
52,5201,5651,5533,5956,5616,6032,5668,6102
53,2623,1410,2720,1478,2742,1492,2766,1506
55,5990,4294,6080,4418,6100,4438,6117,4457
56,2850,1550,2897,1575,2910,1585,2928,1589
57,1897,1162,2062,1516,2079,1561,2090,1571
60,48488,30930,49448,31828,49633,31982,49800,32118
61,23694,12140,24520,12631,24700,12746,24845,12851
62,24796,12415,26279,13380,26550,13570,26819,13727
63,850,1170,878,1202,881,1210,886,1218
64,970,203,976,206,976,206,976,206
65,27,14,27,16,27,16,27,16
69,18,9,18,9,18,9,18,9
74,441,898,444,912,447,912,450,916
83,37,10,38,10,38,10,38,10
89,38,49,38,49,38,49,38,49
117,45,39,47,46,47,47,47,49
142,303,200,313,206,314,206,316,206
197,8,4,8,4,8,4,8,4
236,13,3,13,3,13,3,13,3
263,17,13,18,16,18,16,18,16
282,152,371,160,375,161,376,161,376
359,98,47,107,51,107,51,108,51
406,2887,1164,2954,1206,2974,1218,2987,1233
418,23,6,23,6,23,6,23,6
466,486,302,499,317,501,320,502,322
472,337,113,345,119,347,120,348,121
498,38,10,39,11,40,11,40,11
546,1550,1794,1572,1816,1575,1818,1577,1822
730,15,0,17,0,17,0,17,0
731,5,1,5,2,5,2,5,2
751,44,19,46,20,46,20,48,20
752,114,46,120,50,123,52,124,52
787,15,11,17,11,17,11,17,11
788,18609,9009,19033,9334,19107,9375,19206,9419
790,1203,869,1281,917,1296,928,1312,932
793,7,9,8,11,8,13,8,13
797,15,19,16,21,16,22,17,23
809,63,42,63,42,64,42,64,42
810,197,78,203,83,206,84,208,84
820,239,198,243,200,243,200,243,200
821,75,138,80,142,80,143,81,143
822,114,143,115,143,116,145,116,147
824,237,412,239,419,240,420,241,420
825,483,237,491,241,493,241,494,241
827,690,249,692,252,692,252,692,253
828,275,231,279,235,281,236,282,236
830,586,505,619,523,625,529,628,534
831,440,254,461,264,466,266,472,267
832,162,53,163,56,163,57,163,57
833,15,6,15,6,15,6,15,6
834,15,13,16,13,16,13,16,13
835,261,243,263,249,263,249,265,251
837,5069,3273,5147,3356,5157,3362,5172,3375
839,6345,9929,6431,10123,6443,10142,6457,10163
848,23,5,24,5,24,5,25,5
853,5,2,5,3,5,3,5,3
858,40,5,41,5,42,6,42,6
866,1,6,1,6,1,6,1,6
886,566,949,593,1000,602,1008,605,1020
895,22,3,22,3,22,3,22,3
898,129,158,136,160,136,160,139,161
913,71,298,72,311,73,312,73,314
917,311,198,323,202,323,202,326,205
919,109,241,109,241,109,241,109,242
920,36,53,41,54,41,55,41,56
933,6,2,6,2,6,2,6,2
934,51,10,51,10,51,11,52,11
935,2,1,3,1,3,1,3,1
936,9,2,9,2,9,2,9,2
941,5,3,5,4,5,4,5,4
942,1,3,1,3,1,3,1,3
943,0,0,0,0,0,0,0,0
946,4,2,4,2,4,2,4,2
947,5,6,6,6,6,6,6,6
948,57,43,60,46,60,47,60,47
949,59,25,61,25,61,25,62,25
950,79,41,83,44,83,45,83,45
951,30,14,30,15,30,15,30,15
952,8,2,8,2,8,2,8,2
953,56,49,62,54,63,54,63,54
957,14,9,16,9,17,9,17,9
958,23,30,23,30,23,30,23,30
960,4,3,5,3,5,3,5,3
963,7,1,7,1,7,1,7,1
964,0,3,0,3,0,3,0,3
969,126904,40639,127896,41092,128078,41160,128229,41230
974,224,29,230,30,234,31,234,31
976,26,9,27,9,27,9,27,9
978,4,3,4,3,5,3,5,3
979,14,3,15,3,15,3,15,4
980,52,9,52,9,52,9,52,9
981,499,314,511,321,513,323,514,324
982,103,80,106,82,108,82,108,82
983,174,52,179,53,179,54,180,54
985,140,83,163,91,163,92,166,92
989,227,382,237,393,240,394,243,396
996,2,4,2,5,2,5,2,5
997,68,15,71,15,72,15,72,15
1006,78,88,79,92,79,92,79,92
1008,36,40,41,44,41,45,41,45
1011,53,15,56,15,56,16,56,16
1013,13,14,15,16,16,16,16,16
1018,4,1,5,1,5,1,5,2
1022,39,17,39,20,39,20,39,20
1027,3,1,3,2,3,2,3,2
1028,1,2,1,2,1,2,1,2
1029,3,3,3,4,3,4,3,4
1030,3,5,7,14,7,16,7,18
1031,1641,402,1742,421,1757,425,1774,429
1032,788,1093,820,1127,829,1133,836,1140
1033,15,19,16,19,16,20,16,20
1034,460,1007,476,1015,481,1017,485,1017
1035,68,56,76,72,77,76,78,78
1036,542,768,573,824,584,831,587,839
1038,12,4,13,6,13,6,13,6
1039,13,5,13,5,13,5,13,5
1041,112,70,114,74,117,74,117,74
1042,15,16,18,17,19,17,19,17
1044,93,54,100,58,102,58,105,58
1045,24280,24987,24491,25310,24539,25389,24591,25466
1046,85,63,88,68,89,69,90,69
1047,333,150,343,154,346,157,347,160
1050,12,9,12,9,12,9,12,9
1051,5,8,6,9,6,9,7,9
1052,325,99,335,106,336,106,339,107
1054,59,71,59,73,59,74,60,75
1057,31,5,31,5,31,5,31,5
1059,10,39,11,42,11,42,11,42
1071,125,23,131,28,132,28,132,28
1073,33,6,37,7,37,7,38,7
1075,111,72,112,73,114,73,115,74
1079,176,145,183,150,183,150,183,152
1080,24781,25057,26391,26290,26650,26483,26859,26646
1081,23,22,24,22,24,22,24,22
1082,27,60,32,60,32,60,32,60
1083,14,14,16,14,20,14,20,14
1084,53,13,55,14,55,14,55,14
1085,261,156,327,213,333,219,339,223
